Iteración,Kyber Version,Tiempo Generación Claves,Tiempo Encapsulación,Tiempo Decapsulación,Tiempo Total
733,kyber1024,0.0965,0.1163,0.1312,0.3440
734,kyber1024,0.0968,0.1162,0.1303,0.3433
735,kyber1024,0.0963,0.1156,0.1425,0.3544
736,kyber1024,0.0970,0.1157,0.1302,0.3429
737,kyber1024,0.0988,0.1127,0.1265,0.3380
738,kyber1024,0.1029,0.1493,0.1272,0.3794
739,kyber1024,0.0995,0.1177,0.1312,0.3484
740,kyber1024,0.0997,0.1178,0.1329,0.3504
741,kyber1024,0.2343,0.1148,0.1324,0.4815
742,kyber1024,0.0996,0.1139,0.1278,0.3413
743,kyber1024,0.0988,0.1177,0.1404,0.3569
744,kyber1024,0.0991,0.1193,0.1499,0.3683
745,kyber1024,0.1082,0.1121,0.1273,0.3476
