Tiempo Firma Grande (ms),Tiempo Verificación Pequeña (ms),Tiempo Verificación Grande (ms),Tiempo Total Pequeño (ms),Tiempo Total Grande (ms)
1.1184,0.4135,0.4519,1.5205,2.0709
1.0092,0.4070,0.4530,1.9939,1.9358
1.5242,0.4133,0.4584,1.7087,2.4602
0.6459,0.4086,0.4603,2.1995,1.5917
0.6693,0.4018,0.4671,1.6747,1.6240
0.6516,0.3963,0.4579,1.7863,1.5746
0.9815,0.4072,0.4680,1.5089,1.9217
1.2079,0.2828,0.3142,1.5678,2.0357
1.4650,0.2942,0.3109,1.9156,2.1344
1.8259,0.4135,0.4347,2.2370,2.7259
1.4819,0.3007,0.3122,2.4683,2.1775
0.8442,0.4227,0.4331,1.4787,1.7431
5.2182,0.2856,0.3090,1.6814,5.9890
1.2445,0.3946,0.4413,1.4888,2.1715
0.6743,0.4136,0.4643,1.8820,1.6097
0.7055,0.2884,0.3037,2.8888,1.4831
0.9869,0.4125,0.4507,2.0823,1.9218
1.0522,0.4093,0.4549,1.6622,1.9674
1.7466,0.4216,0.4660,1.4592,2.6491
1.8254,0.2842,0.3026,1.3706,2.5992
0.6404,0.4104,0.3176,3.8093,1.4600
0.7166,0.2755,0.3057,4.6404,1.4952
0.8037,0.4053,0.4623,3.0382,1.7484
0.7746,0.4214,0.4442,2.2154,1.6629
0.6590,0.4151,0.4648,1.4668,1.6009
1.0507,0.2965,0.3052,2.5224,1.8157
0.8356,0.4116,0.4499,1.8552,1.7678
0.6402,0.4284,0.4613,1.7956,1.5667
1.2046,0.2748,0.3218,2.6147,2.0195
1.4277,0.4029,0.4398,1.8659,2.3262
0.6691,0.4127,0.4568,1.8634,1.5876
2.2329,0.4298,0.4655,1.4776,3.1329
1.0744,0.4225,0.4564,2.3634,2.0103
0.6410,0.4079,0.4583,1.4291,1.5697
2.0062,0.4181,0.4499,1.7342,2.9043
2.3783,0.2937,0.3085,3.0956,3.1768
0.8118,0.4249,0.4466,1.8719,1.7376
0.9464,0.4275,0.4569,1.4453,1.8407
0.5726,0.2890,0.3034,2.4404,1.3279
0.5206,0.2787,0.3041,4.5112,1.2688
1.4164,0.3982,0.4445,1.6749,2.3139
2.5967,0.3869,0.4380,1.4338,3.5127
0.6893,0.4168,0.4639,1.8004,1.5975
1.5096,0.2741,0.3071,1.4908,2.2645
1.4435,0.3946,0.4460,1.5034,2.4127
0.8257,0.4268,0.4141,2.3015,1.6980
0.9892,0.4172,0.4651,1.8665,1.9054
0.9339,0.4142,0.3336,1.7813,1.7417
1.3690,0.4206,0.3823,2.9306,2.2265
1.5399,0.4211,0.4332,2.0633,2.4382
1.5429,0.4140,0.4457,1.7761,2.4512
0.6819,0.4202,0.4612,1.4681,1.6176
1.4367,0.3841,0.3377,1.4240,2.2321
0.6555,0.3839,0.4167,1.9022,1.5689
0.6186,0.4318,0.4395,1.4675,1.5031
0.9607,0.2908,0.3007,1.5570,1.7473
0.9145,0.2899,0.3034,1.5510,1.5721
1.0699,0.2930,0.3194,1.0744,1.7592
1.0488,0.2923,0.3023,1.8934,1.6926
0.9345,0.2827,0.3192,1.2873,1.6028
0.7009,0.2921,0.3008,1.1665,1.3456
