Iteración,Falcon Version,Tamaño Mensaje,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
314,falcon-512,pequeño,8.7699,0.8826,0.0566,9.7092
315,falcon-512,pequeño,6.6933,0.8729,0.0557,7.6218
316,falcon-512,pequeño,11.4023,0.8517,0.0602,12.3142
317,falcon-512,pequeño,6.7024,0.8495,0.0551,7.6069
318,falcon-512,pequeño,6.6969,0.8443,0.0562,7.5975
319,falcon-512,pequeño,25.4098,0.8666,0.0565,26.3329
320,falcon-512,pequeño,7.2492,0.9663,0.0791,8.2946
321,falcon-512,pequeño,9.3502,0.9881,0.0634,10.4017
322,falcon-512,pequeño,12.6236,0.8621,0.0588,13.5444
323,falcon-512,pequeño,7.9182,0.8533,0.0588,8.8303
324,falcon-512,pequeño,6.9867,0.8724,0.0562,7.9153
325,falcon-512,pequeño,8.2458,0.8668,0.0585,9.1711
326,falcon-512,pequeño,11.5255,0.8599,0.0567,12.4420
327,falcon-512,pequeño,9.0867,0.8546,0.0559,9.9973
328,falcon-512,pequeño,7.6227,0.8598,0.0560,8.5385
329,falcon-512,pequeño,7.6076,0.8700,0.0553,8.5329
330,falcon-512,pequeño,20.2054,0.9403,0.0616,21.2073
331,falcon-512,pequeño,10.4364,0.9018,0.0650,11.4032
332,falcon-512,pequeño,8.9168,0.8848,0.0566,9.8582
333,falcon-512,pequeño,8.4039,0.8495,0.0558,9.3092
334,falcon-512,pequeño,11.7592,0.8664,0.0553,12.6809
335,falcon-512,pequeño,9.2018,0.8544,0.0556,10.1118
336,falcon-512,pequeño,7.9575,0.8624,0.0559,8.8758
337,falcon-512,pequeño,7.0591,0.8654,0.0556,7.9801
338,falcon-512,pequeño,7.4161,0.8660,0.0568,8.3389
339,falcon-512,pequeño,7.4105,0.8641,0.0558,8.3304
340,falcon-512,pequeño,18.5376,0.8984,0.0627,19.4987
341,falcon-512,pequeño,15.3348,0.8628,0.0556,16.2532
342,falcon-512,pequeño,8.4652,0.8801,0.0567,9.4020
343,falcon-512,pequeño,8.3528,0.8639,0.0568,9.2734
344,falcon-512,pequeño,8.4586,0.8698,0.0568,9.3852
345,falcon-512,pequeño,7.8056,0.8587,0.0558,8.7202
346,falcon-512,pequeño,11.4663,0.8553,0.0560,12.3777
347,falcon-512,pequeño,7.9598,0.8506,0.0558,8.8662
348,falcon-512,pequeño,10.2103,0.8548,0.0625,11.1276
349,falcon-512,pequeño,7.0147,0.9753,0.0625,8.0525
350,falcon-512,pequeño,7.4192,0.8647,0.0550,8.3389
351,falcon-512,pequeño,12.5582,0.8671,0.0590,13.4844
352,falcon-512,pequeño,7.2477,0.8712,0.0561,8.1751
353,falcon-512,pequeño,8.2474,0.8632,0.0544,9.1650
354,falcon-512,pequeño,9.4667,0.8595,0.0551,10.3812
355,falcon-512,pequeño,12.2833,0.8574,0.0563,13.1969
356,falcon-512,pequeño,11.5228,0.8646,0.0573,12.4447
357,falcon-512,pequeño,9.9459,0.8854,0.0571,10.8884
358,falcon-512,pequeño,7.2575,0.8514,0.0558,8.1647
359,falcon-512,pequeño,7.4339,0.8843,0.0581,8.3762
360,falcon-512,pequeño,14.8658,0.8576,0.0617,15.7851
361,falcon-512,pequeño,15.5802,0.8694,0.0566,16.5062
362,falcon-512,pequeño,12.3939,0.8637,0.0555,13.3131
363,falcon-512,pequeño,9.2909,0.8662,0.0562,10.2132
364,falcon-512,pequeño,7.2623,0.8616,0.0563,8.1802
365,falcon-512,pequeño,7.8924,0.8676,0.0554,8.8153
366,falcon-512,pequeño,9.4646,0.8723,0.0575,10.3943
367,falcon-512,pequeño,8.9814,0.8601,0.0559,9.8974
368,falcon-512,pequeño,11.1481,0.8994,0.0587,12.1062
369,falcon-512,pequeño,7.7865,0.8933,0.0567,8.7365
370,falcon-512,pequeño,11.2946,0.8904,0.0566,12.2417
371,falcon-512,pequeño,8.2956,0.8525,0.0557,9.2038
372,falcon-512,pequeño,7.3230,0.8570,0.0551,8.2352
373,falcon-512,pequeño,7.0558,0.8545,0.0560,7.9663
374,falcon-512,pequeño,8.3210,0.8638,0.0562,9.2410
375,falcon-512,pequeño,6.9694,0.8573,0.0596,7.8863
376,falcon-512,pequeño,7.3225,0.8603,0.0561,8.2389
377,falcon-512,pequeño,9.2842,0.8599,0.0561,10.2002
378,falcon-512,pequeño,7.9666,0.8703,0.0573,8.8942
379,falcon-512,pequeño,7.0888,0.8879,0.0579,8.0346
380,falcon-512,pequeño,9.9372,0.8725,0.0566,10.8662
381,falcon-512,pequeño,6.9778,0.8642,0.0563,7.8983
382,falcon-512,pequeño,9.1607,0.8632,0.0560,10.0799
383,falcon-512,pequeño,11.6909,0.8826,0.0597,12.6333
384,falcon-512,pequeño,15.6537,1.0118,0.0680,16.7334
385,falcon-512,pequeño,11.7848,0.8703,0.0557,12.7109
386,falcon-512,pequeño,7.0358,0.8773,0.0568,7.9699
387,falcon-512,pequeño,14.4788,0.9147,0.0563,15.4498
388,falcon-512,pequeño,6.7369,0.8522,0.0549,7.6441
389,falcon-512,pequeño,7.4542,0.8548,0.0558,8.3648
390,falcon-512,pequeño,10.3475,0.8604,0.0559,11.2637
391,falcon-512,pequeño,6.7347,0.8645,0.0547,7.6539
392,falcon-512,pequeño,19.4662,0.8851,0.0569,20.4082
393,falcon-512,pequeño,7.3385,0.8752,0.0553,8.2690
394,falcon-512,pequeño,9.3325,0.8567,0.0561,10.2453
395,falcon-512,pequeño,12.1788,0.8780,0.0569,13.1136
396,falcon-512,pequeño,7.9541,0.8633,0.0554,8.8728
397,falcon-512,pequeño,6.8008,0.8977,0.0588,7.7573
398,falcon-512,pequeño,10.3338,0.8980,0.0559,11.2878
399,falcon-512,pequeño,11.2127,0.8600,0.0553,12.1280
400,falcon-512,pequeño,7.9040,0.8567,0.0560,8.8167
401,falcon-512,pequeño,6.8003,0.8459,0.0551,7.7013
402,falcon-512,pequeño,8.5478,0.8759,0.0558,9.4795
403,falcon-512,pequeño,7.7999,0.8668,0.0548,8.7214
404,falcon-512,pequeño,12.3256,0.8810,0.0566,13.2632
405,falcon-512,pequeño,6.7305,0.8666,0.0558,7.6530
406,falcon-512,pequeño,10.7785,0.8672,0.0551,11.7009
407,falcon-512,pequeño,8.9108,0.8723,0.0562,9.8392
408,falcon-512,pequeño,10.1440,0.8998,0.0578,11.1016
409,falcon-512,pequeño,9.0187,0.9044,0.0593,9.9824
410,falcon-512,pequeño,7.8009,0.9200,0.0728,8.7937
411,falcon-512,pequeño,11.4689,0.9073,0.0579,12.4341
412,falcon-512,pequeño,7.0541,0.8674,0.0569,7.9785
