Iteración,Falcon Version,Tamaño Mensaje,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
939,falcon-1024,grande,23.5808,1.8608,0.1631,25.6048
940,falcon-1024,grande,21.2372,1.8740,0.1651,23.2763
941,falcon-1024,grande,32.0346,1.8994,0.1704,34.1044
942,falcon-1024,grande,25.2483,1.8617,0.1668,27.2768
943,falcon-1024,grande,20.6646,1.8756,0.1873,22.7275
944,falcon-1024,grande,22.6735,1.8973,0.1658,24.7366
945,falcon-1024,grande,28.6737,1.8829,0.1658,30.7224
946,falcon-1024,grande,19.9606,1.8857,0.1632,22.0094
947,falcon-1024,grande,29.5054,1.8775,0.1673,31.5503
948,falcon-1024,grande,25.2011,1.8906,0.1673,27.2589
949,falcon-1024,grande,21.6191,1.8683,0.1681,23.6556
950,falcon-1024,grande,35.5624,1.8736,0.1639,37.6000
951,falcon-1024,grande,21.8388,1.8747,0.1652,23.8787
952,falcon-1024,grande,20.4627,1.9009,0.1704,22.5341
953,falcon-1024,grande,27.5291,1.8752,0.1645,29.5688
954,falcon-1024,grande,27.5193,1.8554,0.1636,29.5383
955,falcon-1024,grande,24.5754,1.8639,0.1698,26.6092
956,falcon-1024,grande,20.4107,1.8596,0.1629,22.4332
957,falcon-1024,grande,47.3639,1.8814,0.1640,49.4093
958,falcon-1024,grande,29.3685,1.9252,0.1708,31.4646
959,falcon-1024,grande,19.6336,1.8609,0.1640,21.6586
960,falcon-1024,grande,19.4134,1.8621,0.1635,21.4390
961,falcon-1024,grande,20.9409,1.8647,0.1639,22.9695
962,falcon-1024,grande,24.2646,1.8871,0.1653,26.3171
963,falcon-1024,grande,23.1157,1.8674,0.1652,25.1484
964,falcon-1024,grande,22.8095,1.8863,0.1648,24.8606
965,falcon-1024,grande,38.4227,1.8672,0.1685,40.4584
966,falcon-1024,grande,41.3023,1.8848,0.1710,43.3581
967,falcon-1024,grande,37.5830,1.8698,0.1678,39.6206
968,falcon-1024,grande,27.4341,1.9100,0.1768,29.5209
969,falcon-1024,grande,25.0747,1.8616,0.1651,27.1014
970,falcon-1024,grande,21.3169,1.8559,0.1670,23.3397
971,falcon-1024,grande,30.6118,1.8718,0.1676,32.6512
972,falcon-1024,grande,24.5665,1.8936,0.1667,26.6268
