Iteración,Dilithium Version,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
118,Dilithium5,0.2804,4.0941,0.3104,4.6849
119,Dilithium5,0.3006,1.3686,0.4583,2.1275
120,Dilithium5,0.2905,0.7416,0.2991,1.3312
121,Dilithium5,0.3012,2.4405,0.3014,3.0431
122,Dilithium5,0.3072,0.7358,0.3100,1.3530
123,Dilithium5,0.2806,0.7457,0.3026,1.3289
124,Dilithium5,0.2895,0.4465,0.4644,1.2004
125,Dilithium5,0.3032,0.7160,0.3166,1.3358
126,Dilithium5,0.2861,0.4288,0.3146,1.0295
127,Dilithium5,0.2820,0.5583,0.3061,1.1464
128,Dilithium5,0.2781,0.8859,0.2938,1.4578
129,Dilithium5,0.2833,0.5906,0.4168,1.2907
130,Dilithium5,0.2861,0.4239,0.3121,1.0221
131,Dilithium5,0.2836,0.4225,0.3070,1.0131
132,Dilithium5,0.2834,1.3935,0.3112,1.9881
133,Dilithium5,0.2829,0.5978,0.3060,1.1867
134,Dilithium5,0.2807,0.4333,0.3070,1.0210
135,Dilithium5,0.2847,0.6156,0.3070,1.2073
136,Dilithium5,0.4613,1.3565,0.3034,2.1212
137,Dilithium5,0.2824,0.4430,0.3037,1.0291
138,Dilithium5,0.3970,0.4290,0.2953,1.1213
139,Dilithium5,0.2958,1.1896,0.2935,1.7789
140,Dilithium5,0.2790,2.6308,0.2940,3.2038
141,Dilithium5,0.3779,0.5338,0.3920,1.3037
142,Dilithium5,0.3857,2.3299,0.3191,3.0347
143,Dilithium5,0.2783,1.3646,0.3145,1.9574
144,Dilithium5,0.2838,0.4340,0.3169,1.0347
145,Dilithium5,0.2843,0.4290,0.3174,1.0307
146,Dilithium5,0.2947,1.1155,0.5424,1.9526
147,Dilithium5,0.3174,0.4385,0.3167,1.0726
148,Dilithium5,0.2920,1.3662,0.3205,1.9787
149,Dilithium5,0.4298,0.4429,0.3044,1.1771
150,Dilithium5,0.2864,1.0328,0.3109,1.6301
151,Dilithium5,0.2818,0.5487,0.3161,1.1466
152,Dilithium5,0.2806,1.3715,0.3276,1.9797
153,Dilithium5,0.3235,1.1598,0.3026,1.7859
154,Dilithium5,0.2982,1.7174,0.3053,2.3209
155,Dilithium5,0.2833,1.0491,0.3034,1.6358
156,Dilithium5,0.2969,1.1561,0.3072,1.7602
157,Dilithium5,0.2962,0.4462,0.3230,1.0654
158,Dilithium5,0.3018,1.4175,0.3017,2.0210
159,Dilithium5,0.3100,0.5755,0.3066,1.1921
160,Dilithium5,0.2886,1.6459,0.3128,2.2473
161,Dilithium5,0.2878,1.3887,0.3095,1.9860
162,Dilithium5,0.2944,0.7610,0.2963,1.3517
163,Dilithium5,0.2828,0.4443,0.2992,1.0263
164,Dilithium5,0.4119,0.8801,0.3040,1.5960
165,Dilithium5,0.2845,1.4380,0.3085,2.0310
166,Dilithium5,0.4155,0.4534,0.2982,1.1671
167,Dilithium5,0.2814,0.6117,0.2961,1.1892
